,County #,County Name
0,48001,Anderson
1,48003,Andrews
2,48005,Angelina
3,48007,Aransas
4,48009,Archer
5,48011,Armstrong
6,48013,Atascosa
7,48015,Austin
8,48017,Bailey
9,48019,Bandera
10,48021,Bastrop
11,48023,Baylor
12,48025,Bee
13,48027,Bell
14,48029,Bexar
15,48031,Blanco
16,48033,Borden
17,48035,Bosque
18,48037,Bowie
19,48039,Brazoria
20,48041,Brazos
21,48043,Brewster
22,48045,Briscoe
23,48047,Brooks
24,48049,Brown
25,48051,Burleson
26,48053,Burnet
27,48055,Caldwell
28,48057,Calhoun
29,48059,Callahan
30,48061,Cameron
31,48063,Camp
32,48065,Carson
33,48067,Cass
34,48069,Castro
35,48071,Chambers
36,48073,Cherokee
37,48075,Childress
38,48077,Clay
39,48079,Cochran
40,48081,Coke
41,48083,Coleman
42,48085,Collin
43,48087,Collingsworth
44,48089,Colorado
45,48091,Comal
46,48093,Comanche
47,48095,Concho
48,48097,Cooke
49,48099,Coryell
50,48101,Cottle
51,48103,Crane
52,48105,Crockett
53,48107,Crosby
54,48109,Culberson
55,48111,Dallam
56,48113,Dallas
57,48115,Dawson
58,48117,Deaf Smith
59,48119,Delta
60,48121,Denton
61,48123,DeWitt
62,48125,Dickens
63,48127,Dimmit
64,48129,Donley
65,48131,Duval
66,48133,Eastland
67,48135,Ector
68,48137,Edwards
69,48139,Ellis
70,48141,El Paso
71,48143,Erath
72,48145,Falls
73,48147,Fannin
74,48149,Fayette
75,48151,Fisher
76,48153,Floyd
77,48155,Foard
78,48157,Fort Bend
79,48159,Franklin
80,48161,Freestone
81,48163,Frio
82,48165,Gaines
83,48167,Galveston
84,48169,Garza
85,48171,Gillespie
86,48173,Glasscock
87,48175,Goliad
88,48177,Gonzales
89,48179,Gray
90,48181,Grayson
91,48183,Gregg
92,48185,Grimes
93,48187,Guadalupe
94,48189,Hale
95,48191,Hall
96,48193,Hamilton
97,48195,Hansford
98,48197,Hardeman
99,48199,Hardin
100,48201,Harris
101,48203,Harrison
102,48205,Hartley
103,48207,Haskell
104,48209,Hays
105,48211,Hemphill
106,48213,Henderson
107,48215,Hidalgo
108,48217,Hill
109,48219,Hockley
110,48221,Hood
111,48223,Hopkins
112,48225,Houston
113,48227,Howard
114,48229,Hudspeth
115,48231,Hunt
116,48233,Hutchinson
117,48235,Irion
118,48237,Jack
119,48239,Jackson
120,48241,Jasper
121,48243,Jeff Davis
122,48245,Jefferson
123,48247,Jim Hogg
124,48249,Jim Wells
125,48251,Johnson
126,48253,Jones
127,48255,Karnes
128,48257,Kaufman
129,48259,Kendall
130,48261,Kenedy
131,48263,Kent
132,48265,Kerr
133,48267,Kimble
134,48269,King
135,48271,Kinney
136,48273,Kleberg
137,48275,Knox
138,48277,Lamar
139,48279,Lamb
140,48281,Lampasas
141,48283,La Salle
142,48285,Lavaca
143,48287,Lee
144,48289,Leon
145,48291,Liberty
146,48293,Limestone
147,48295,Lipscomb
148,48297,Live Oak
149,48299,Llano
150,48303,Lubbock
151,48305,Lynn
152,48307,McCulloch
153,48309,McLennan
154,48311,McMullen
155,48313,Madison
156,48315,Marion
157,48317,Martin
158,48319,Mason
159,48321,Matagorda
160,48323,Maverick
161,48325,Medina
162,48327,Menard
163,48329,Midland
164,48331,Milam
165,48333,Mills
166,48335,Mitchell
167,48337,Montague
168,48339,Montgomery
169,48341,Moore
170,48343,Morris
171,48345,Motley
172,48347,Nacogdoches
173,48349,Navarro
174,48351,Newton
175,48353,Nolan
176,48355,Nueces
177,48357,Ochiltree
178,48359,Oldham
179,48361,Orange
180,48363,Palo Pinto
181,48365,Panola
182,48367,Parker
183,48369,Parmer
184,48371,Pecos
185,48373,Polk
186,48375,Potter
187,48377,Presidio
188,48379,Rains
189,48381,Randall
190,48383,Reagan
191,48385,Real
192,48387,Red River
193,48389,Reeves
194,48391,Refugio
195,48393,Roberts
196,48395,Robertson
197,48397,Rockwall
198,48399,Runnels
199,48401,Rusk
200,48403,Sabine
201,48405,San Augustine
202,48407,San Jacinto
203,48409,San Patricio
204,48411,San Saba
205,48413,Schleicher
206,48415,Scurry
207,48417,Shackelford
208,48419,Shelby
209,48421,Sherman
210,48423,Smith
211,48425,Somervell
212,48427,Starr
213,48429,Stephens
214,48431,Sterling
215,48433,Stonewall
216,48435,Sutton
217,48437,Swisher
218,48439,Tarrant
219,48441,Taylor
220,48443,Terrell
221,48445,Terry
222,48447,Throckmorton
223,48449,Titus
224,48451,Tom Green
225,48453,Travis
226,48455,Trinity
227,48457,Tyler
228,48459,Upshur
229,48461,Upton
230,48463,Uvalde
231,48465,Val Verde
232,48467,Van Zandt
233,48469,Victoria
234,48471,Walker
235,48473,Waller
236,48475,Ward
237,48477,Washington
238,48479,Webb
239,48481,Wharton
240,48483,Wheeler
241,48485,Wichita
242,48487,Wilbarger
243,48489,Willacy
244,48491,Williamson
245,48493,Wilson
246,48495,Winkler
247,48497,Wise
248,48499,Wood
249,48501,Yoakum
250,48503,Young
251,48505,Zapata
252,48507,Zavala
